feature,replicates,mean,std,lower,upper,positive_fraction
age,200,-0.04011612934984189,0.06356118513807127,-0.15169565189348166,0.08352171763901108,0.27
appearances_prev,200,-0.22114304378179545,0.10921973120360928,-0.43886285774621586,-0.01146165090855086,0.015
assists_prev,200,0.0442090124018795,0.05720280146441071,-0.06960677600867439,0.15068371129743247,0.77
club_change_known_at_cutoff,200,0.054112852513391055,0.04961934554395491,-0.051993751003645006,0.1412113911871713,0.86
club_mean_valuation_eur,200,0.3476028994626046,0.12492856464313977,0.11151153945421881,0.5964023664392264,1.0
foot_Unknown,200,0.44844732777227686,0.4519007304879552,-0.6583468212541469,1.24704720879984,0.855
foot_both,200,-0.1335503320814213,0.23366856138074157,-0.595866811038183,0.2940099926935827,0.275
foot_left,200,-0.30492298405076723,0.22814927403458127,-0.8094021771075346,0.10038495405987741,0.085
foot_right,200,-0.15105004371651642,0.19906995022596058,-0.5561496854776572,0.20264798516835564,0.24
goals_per90_prev,200,0.21946432781739167,0.16528496829265357,-0.07446671458363162,0.5216555881189361,0.915
goals_prev,200,0.3893338294010526,0.1795676488681418,0.07809106638456981,0.7178704932671599,0.99
height_cm,200,0.12545059953774193,0.06007701759830764,0.010363080513759173,0.23243227142420017,0.985
league_ES1,200,-0.1429859470299054,0.13208111633230152,-0.4092614678542091,0.09735821975943945,0.14
league_FR1,200,0.15599915591242228,0.13997356494177143,-0.11000933850440824,0.4154250149271579,0.86
league_GB1,200,-0.28694485600983877,0.1541528309742698,-0.5888816573380266,0.022792533292648957,0.04
league_IT1,200,0.09252462060581547,0.12862663602261332,-0.14449729134041656,0.32594239064385344,0.77
league_L1,200,-0.35158403537028976,0.15255643362188182,-0.6752374781314953,-0.0683337689440215,0.01
league_NL1,200,0.4837121728992077,0.18472647915274243,0.09381087141415952,0.8584753497685619,0.995
league_PO1,200,0.13799906601306375,0.16069283496566097,-0.1865391090698433,0.41856028220400704,0.8
league_RU1,200,-0.2795191553878217,0.17134092344440802,-0.6501369817161397,-0.0195634260551648,0.015
league_TR1,200,0.049722946290919355,0.14903835896720924,-0.2376169725510686,0.33236248939048796,0.65
minutes_prev,200,0.4840074095391115,0.13559455126737563,0.20805292525137026,0.7488700159903903,1.0
position_Attacking Midfield,200,-0.5879539857896519,0.13730337954915406,-0.8576017616665811,-0.34122415052146776,0.0
position_Centre-Forward,200,0.47882917754346266,0.1165345216386656,0.2111729507986827,0.6716224194162435,1.0
position_Left Winger,200,-0.02884758231636196,0.11638590442906468,-0.2831471720916149,0.18677334118772235,0.39
position_Right Winger,200,-0.15307078663967758,0.12520912951888738,-0.40368158848217867,0.07504231550201655,0.12
position_Second Striker,200,0.14996714512580123,0.1922897375710156,-0.2299613666816551,0.5297200124223478,0.8
valuation_eur,200,0.26290573207529644,0.13252400848681292,0.006930177390584394,0.5278557729698452,0.98
valuation_growth_12m,200,0.020223250858953944,0.055015355976115364,-0.08027890072192025,0.13857325187047964,0.655
