model,scope,auc,average_precision,brier,log_loss,n,positive_rate
TabICL,test,0.810601611945014,0.4854712290528175,0.11105159670114517,0.356852263212204,2057,0.1648031113271755
TabICL,validation,0.7785659801678109,0.44020088045775696,0.12036482244729996,0.3818618655204773,685,0.1678832116788321
TabICL,2023,0.8037276072139453,0.48967252131926425,0.11633821576833725,0.37183064222335815,680,0.17352941176470588
TabICL,2024,0.8273203955430166,0.5425653958194474,0.11534757912158966,0.36754241585731506,683,0.18448023426061494
TabICL,2025,0.8016518759335736,0.4410386843451005,0.10164374858140945,0.3316553235054016,694,0.13688760806916425
TabICL,unseen_players,0.787457191780822,0.36461874692573315,0.09878804534673691,0.3266482353210449,1138,0.1282952548330404
